date,actual,forecast_close,forecast_high,forecast_low,action
2024-01-30,4924.97021484375,4899.313,4909.299,4880.552,HOLD
2024-02-06,4954.22998046875,4953.211,4979.6797,4928.729,HOLD
2024-02-13,4953.169921875,4985.575,5007.0503,4966.8423,HOLD
2024-02-21,4981.7998046875,4935.0615,4964.313,4911.7295,SELL
2024-02-28,5069.759765625,5095.453,5099.455,5047.6157,HOLD
2024-03-06,5104.759765625,5078.3926,5116.203,5035.2046,HOLD
2024-03-13,5165.31005859375,5133.2964,5167.7036,5117.2334,HOLD
2024-03-20,5224.6201171875,5173.732,5188.511,5148.8525,HOLD
2024-03-27,5248.490234375,5205.368,5211.401,5195.7944,HOLD
2024-04-04,5147.2099609375,5261.3447,5266.762,5229.816,BUY
2024-04-11,5199.06005859375,5198.173,5206.9614,5169.4834,HOLD
2024-04-18,5011.1201171875,5031.1147,5039.4683,5004.86,BUY
2024-04-25,5048.419921875,4969.284,5027.913,4955.9854,SELL
2024-05-02,5064.2001953125,4969.4565,5000.1436,4941.1777,SELL
2024-05-09,5214.080078125,5166.4727,5196.6895,5159.5415,HOLD
2024-05-16,5297.10009765625,5279.813,5292.886,5266.6035,HOLD
2024-05-23,5267.83984375,5336.5786,5332.5156,5306.291,BUY
2024-05-31,5277.509765625,5168.2407,5193.161,5157.167,SELL
2024-06-07,5346.990234375,5379.457,5408.37,5358.0815,HOLD
2024-06-14,5431.60009765625,5450.197,5446.295,5410.3604,BUY
2024-06-24,5447.8701171875,5471.313,5473.192,5428.729,BUY
2024-07-01,5475.08984375,5479.4478,5489.839,5458.605,HOLD
2024-07-09,5576.97998046875,5577.2383,5581.4204,5547.6655,HOLD
2024-07-16,5667.2001953125,5620.169,5640.499,5599.3696,HOLD
2024-07-23,5555.740234375,5595.99,5610.848,5564.097,BUY
2024-07-30,5436.43994140625,5499.242,5513.6987,5466.7563,BUY
2024-08-06,5240.02978515625,5203.961,5282.2256,5057.793,HOLD
2024-08-13,5434.43017578125,5311.377,5372.4927,5291.634,SELL
2024-08-20,5597.1201171875,5607.7817,5629.083,5592.921,HOLD
2024-08-27,5625.7998046875,5602.654,5622.674,5588.2583,HOLD
2024-09-04,5520.06982421875,5541.2134,5565.6562,5522.8555,BUY
2024-09-11,5554.1298828125,5536.6147,5542.9614,5457.786,HOLD
2024-09-18,5618.259765625,5670.229,5680.0376,5637.7637,HOLD
2024-09-25,5722.259765625,5713.388,5734.1245,5697.923,HOLD
2024-10-02,5709.5400390625,5643.1157,5681.233,5642.2456,HOLD
2024-10-09,5792.0400390625,5740.3,5754.924,5722.9224,HOLD
2024-10-16,5842.47021484375,5855.5513,5857.5103,5828.7783,HOLD
2024-10-23,5797.419921875,5862.8467,5864.7607,5840.051,BUY
2024-10-30,5813.669921875,5853.5034,5865.7827,5815.5557,BUY
2024-11-06,5929.0400390625,5741.825,5821.3037,5725.159,SELL
2024-11-13,5985.3798828125,5939.2,5944.1035,5891.6104,HOLD
2024-11-20,5917.10986328125,5891.8843,5906.323,5887.0874,HOLD
2024-11-27,5998.740234375,5957.613,5985.1113,5941.7837,HOLD
2024-12-05,6075.10986328125,6090.71,6099.683,6069.2803,HOLD
2024-12-12,6051.25,6072.6914,6076.6147,6052.318,BUY
2024-12-19,5867.080078125,5865.075,5893.7886,5795.0605,HOLD
2024-12-27,5970.83984375,6037.5854,6046.9727,6013.746,BUY
